label,array
0,"0.06421481,0.0083389105,0.034359813,-0.0168804,-0.12516965,0.01612328,-0.034716494,0.09649759,0.077939786,-0.08486435,0.15552355,0.086184286,-0.07582918,0.02970307,0.031312756,0.061509486,-0.137443,0.0545728,0.022604309,0.047121488,0.13023894,0.0817284,-0.07233995,-0.009136585,-0.22639325,-0.04897522,0.106342465,0.1468752,0.01790245,-0.06369084,0.009860939,0.11684258,0.043716107,-0.050037082,0.053499438,0.13437104,0.12753056,0.006007486,0.020800497,-0.02218193,0.028777061,-0.04735465,0.00043183984,-0.02964551,0.11423413,0.052868456,-0.012910745,0.02624132,-0.033250414,-0.06007861,-0.08822332,-0.15120487,0.027452243,-0.086588845,-0.06932866,0.11843883,-0.036952294,-0.07805458,-0.11993594,0.010496277,0.05003631,0.08986251,-0.026597,-0.2695679,-0.000244912,0.012202439,-0.026902318,-0.09577576,0.07107505,-0.015049509,0.057800364,0.034834784,-0.024955375,0.02329661,0.089305006,0.013537466,-0.04289211,-0.113026544,0.07458733,-0.012979029,-0.055362165,0.054400068,0.028240098,0.053358696,-0.031022068,0.060888696,-0.10478851,0.046982013,0.19172907,-0.010344678,0.09597362,0.028761027,0.12998185,0.08393223,0.053980067,-0.073447265,0.001956669,-0.0099455165,-0.062664464,0.16879277,-0.059273135,-0.041043766,-0.018168613,-0.27924043,-0.023809737,-0.01717319,-0.035341885,0.04197341,0.0029728927,-0.05618813,0.10314797,-0.20716207,0.021762095,0.024132138,-0.010599423,0.20955394,0.07217664,-0.023747742,0.12283003,-0.16329698,0.0942443,-0.045904543,-0.16455151,0.13641162,-0.02039038,-0.101265416,-0.15912728,0.06090697"
0,"0.01265382,-0.058070898,0.111655414,0.076426595,-0.1412063,-0.07668241,-0.0690127,-0.004087952,-0.05324907,-0.054153606,0.07869111,0.124145806,0.11239518,0.07209621,0.011620549,0.02600643,-0.118216805,0.0011585748,0.062312048,-0.023046114,-0.018086452,0.11221204,-0.090575784,-0.043754898,-0.15794525,-0.023023335,-0.06739574,0.06943927,0.028048975,-0.0013162422,0.097167395,0.02106723,0.040319122,0.047720958,-0.15079431,0.16670334,0.101333365,0.048821542,0.027312146,-0.004722026,-0.025554309,-0.07803823,0.0026609704,0.05986057,0.040489197,0.14401202,0.002444334,-0.105252855,0.014710126,0.0346825,-0.09749618,-0.19353208,0.06960296,-0.18984348,-0.13988914,0.07271624,-0.022314172,-0.061933637,-0.0030502684,0.021925813,0.050519843,-0.06342198,-0.06330186,-0.29300302,0.013586679,0.014963042,-0.113155246,-0.019924408,0.08528195,0.10180986,0.07769588,0.027743392,-0.03992381,0.030467747,-0.0322007,-0.012742493,-0.13114446,0.053390946,0.10384376,-0.03313782,-0.06810405,0.080658734,0.06207322,0.06246032,0.0491514,0.14951262,-0.03648276,0.115694664,0.076725826,0.075364485,-0.018728154,0.050733518,0.18579464,0.056529436,0.06595849,-0.09434115,-0.035886645,-0.013075886,-0.023227995,0.1680061,-0.013608895,-0.07287081,-0.006127215,-0.15459661,0.09260767,-0.157052,-0.07633904,0.019580545,0.041133624,0.07335999,0.018127583,-0.1633854,-0.026898503,0.038266264,-0.008680099,0.18281852,0.10113495,0.013522739,0.14923935,-0.21912825,0.0455083,0.03287004,-0.07910914,-0.11820301,0.0067785676,0.03626361,-0.11328247,0.05348497"
0,"0.041814014,-0.102316834,0.08983542,0.01763626,-0.016760059,0.094276056,-0.07811288,0.047289606,0.043142077,0.0127401855,0.050130483,0.12354641,-0.06150512,0.053987514,-0.008721885,-0.032335997,0.0044115735,-0.009109051,-0.028982652,0.1309733,0.102493055,0.12770496,-0.08274682,-0.018988281,-0.10351268,-0.08194497,0.030637946,-0.03909475,0.017543115,-0.13973819,0.035969008,0.09947954,0.055362776,-0.06892625,0.02867243,-0.0051705176,0.0764791,0.031321954,0.09983634,0.022337014,-0.056208607,0.004732537,-0.019120054,-0.052421987,0.0023937027,-0.06256674,0.057982456,-0.051531643,-0.24550302,-0.0023073778,-0.15485334,-0.14902957,0.029201765,-0.034059845,-0.05340698,0.0761105,0.045471806,-0.04207713,-0.10890885,-0.037504937,0.14540927,0.12402527,-0.075658806,-0.2866679,0.15675804,0.026665533,-0.039696634,0.14126527,0.056846283,-0.040934548,0.00054692227,0.11261053,-0.09264843,-0.0015632546,-0.014883281,0.04961091,-0.11166305,0.08507509,0.1398889,0.030388562,-0.039738428,0.06615754,0.054399475,0.08321473,-0.08817937,-0.019602923,-0.06256074,0.034026433,0.053258754,0.024333451,0.10436537,0.05953374,0.15791382,-0.04516653,0.0812027,-0.19460212,0.0054192287,0.20529914,0.1566069,0.06590609,-0.09120273,-0.04674882,0.18278304,-0.18332487,0.08551398,0.015062186,-0.13714397,0.077323854,-0.105734654,-0.028840149,0.084751986,-0.09494525,-0.042336576,0.123305835,0.09317176,0.086014,0.047645967,-0.010891574,0.06992989,-0.11756419,-0.008369122,0.024658209,-0.07949936,0.10899257,0.07271355,-0.09038025,0.021203244,-0.008401607"
0,"0.007884945,-0.11583915,-0.10577991,0.034247145,-0.03915325,-0.054187596,0.06544189,-0.09037375,-0.041611478,0.05773284,0.059293207,0.14989084,-0.076657526,-0.012981939,-0.018616779,-0.0059446846,-0.072143584,0.019939803,-0.0009648536,0.08216675,0.10268441,0.14854568,-0.028167577,0.0819043,0.04965825,-0.10809428,-0.0166261,0.010377726,0.016164096,-0.034033056,0.12726845,0.13153946,-0.046912495,-0.05110257,0.014136264,0.15893443,-0.030736256,-0.05787776,0.04845679,0.03588974,-0.026466113,-0.059126046,0.06497163,-0.025427887,0.109755486,0.19345401,0.0058025937,-0.006618355,-0.09675646,0.20333773,-0.04135358,-0.12353022,0.08828833,-0.18279527,-0.16695313,0.11601337,0.050255436,-0.04118715,-0.08011365,-0.17853361,0.17997047,-0.016649656,-0.01245552,-0.1806827,0.04836834,-0.04180851,-0.10182772,-0.073721,-0.03812446,0.025966406,-0.032841824,0.0006155007,0.08617326,0.0820552,-0.04848937,0.10784002,-0.10499166,0.069353305,0.07098687,-0.047796845,0.024778182,0.07538472,0.06319033,0.042432304,0.108543254,0.01324163,0.0503596,-0.048483223,0.12260121,-0.06557402,0.13290843,0.05114615,0.022839956,-0.005317142,0.20209526,-0.12156915,0.0015950099,0.08427525,0.023711195,0.20643751,-0.110246345,0.03544229,0.07258229,-0.15929712,0.12763022,-0.015670354,0.023032099,-0.115924604,0.010732834,0.01834099,0.057437308,-0.09638117,0.019900434,0.07892583,0.014101968,0.0509589,0.043714877,0.061842192,0.093614794,-0.2304005,0.069271654,-0.12075825,-0.057866834,-0.018201811,-0.076354854,-0.14111106,-0.0023589311,-0.0044247485"
0,"0.0005350699,-0.09515375,0.21178022,0.14758383,0.053746972,0.047888376,0.12499426,0.06292637,-0.024206908,0.0730506,0.0835008,0.13310866,-0.05062432,-0.0648345,-0.051364616,-0.008988109,-0.056623243,0.070298605,-0.015719486,-0.0054682423,0.1292739,0.13370368,-0.07713163,0.005599837,0.049784143,-0.14190035,-0.02076663,0.15371253,0.028356668,-0.15404023,0.07150762,0.13478918,0.0031820051,-0.011037231,0.07468191,0.0018259095,0.18573248,-0.058715183,0.06830262,-0.0013819779,-0.08692459,0.02849746,-0.031566195,-0.038025543,0.0417997,0.048210576,0.08328344,-0.075983874,-0.066126704,0.09175353,-0.15500923,-0.105582975,0.0057368535,-0.016471876,-0.19436483,0.053389907,0.012279957,-0.022779796,-0.08172084,0.010324556,0.07180218,0.044018794,-0.068044275,-0.3250297,0.038021833,0.057438105,-0.1065156,-0.0137809105,-0.054669186,-0.16656911,0.08487654,0.06718857,-0.037359726,0.052771706,0.08914531,0.056039333,-0.053780157,0.059620064,-0.06154224,-0.027356422,0.033365846,-0.00958341,0.022119254,0.010941154,-0.033603653,-0.04222471,0.037893843,0.006768945,0.18635345,0.12934254,0.003893059,0.025815897,0.069310255,-0.103347175,0.029303756,-0.06805158,0.011782306,0.13115606,0.029789548,0.017745735,0.035452906,0.018417627,-0.01085904,-0.17205311,-0.0054189577,0.10190007,-0.06209904,-0.0056880913,-0.029982606,-0.022921083,0.124822356,-0.18454228,0.038375966,0.19173758,-0.030608647,0.09751951,-0.026897935,0.0025922456,-0.014333594,-0.24764548,0.08818099,-0.1057235,-0.031309478,0.061950237,0.0464309,0.0056822645,-0.09189,-0.038156606"
0,"0.029540816,-0.066624425,0.09078622,0.15802652,-0.14605424,-0.048779905,0.03260837,0.011686355,-0.16276382,-0.01643652,0.2150726,0.09620155,0.005722599,-0.14090492,0.0018955648,-0.068573095,-0.039704226,-0.017153379,0.05906263,0.1571862,0.06523829,0.12548,-0.110413805,0.027743995,-0.046599615,-0.18454936,0.02920601,0.090328515,0.0562613,-0.07497568,0.07615566,0.17024982,0.043684356,-0.09115476,0.013742706,0.09336387,0.056762535,0.007467018,0.09331647,-0.022926044,0.020521626,-0.028620727,0.074954376,-0.0834948,0.07979781,0.010843187,0.060264222,-0.033821333,-0.19535218,0.045632273,-0.22104432,-0.0032361702,0.040270895,-0.11565038,-0.1374783,0.08555234,-0.049974166,-0.035371844,-0.13440244,-0.052743677,0.045477226,0.11470334,-0.027797634,-0.25932664,0.020307718,-0.06242934,0.08029566,0.020561198,0.0189464,-0.10921004,0.097180724,0.08837598,-0.03991262,-0.03895461,0.11551278,0.03467323,0.014560332,0.022654528,-0.04969204,-0.0018905223,-0.039083507,0.06859848,-0.03180859,0.1167825,-0.025257193,0.074353024,-0.033309612,-0.013034859,0.049006693,0.070098445,0.09148183,0.09719057,0.09693858,0.022720177,0.030921953,-0.19078828,-0.00039814567,0.058836393,-0.006805755,0.028558912,-0.0160093,-0.048588824,0.03614158,-0.21688753,-0.037945684,-0.007230116,0.007965253,0.08886151,0.02765703,0.040690526,0.106715,-0.1196842,0.03435067,0.092109084,0.009009285,0.10323719,0.042377856,0.026852435,0.087960884,-0.1436623,0.10272446,-0.09341976,-0.02794381,0.05448604,0.07084579,-0.12393025,-0.16218212,0.082298175"
0,"0.03077635,-0.065475054,-0.03736644,0.096133485,0.028015662,0.05751182,0.13293177,-0.03336121,-0.10484548,0.06852514,0.06414261,0.1051096,-0.026384477,0.001211812,-0.046016406,-0.03370448,-0.15576984,0.053735398,-0.06609054,-0.031070972,0.0159499,0.037652608,-0.117649294,-0.0339494,-0.070267044,-0.12987484,-0.008870973,-0.1054542,0.07087322,-0.16972099,0.012470869,0.13482925,0.090767026,-0.060938742,0.035861235,0.04972873,0.18416177,-0.045121454,-0.012516006,0.07929112,0.05655752,0.007868701,-0.039431807,-0.0325566,0.106525,0.073275164,0.16402991,0.037659906,0.086006075,0.029534781,-0.12549758,-0.06355641,-0.014537583,-0.0101329945,-0.029210135,0.0444981,-0.053858396,-0.07328179,0.02197598,-0.068253174,0.015105688,-0.018861016,-0.14669041,-0.1665969,-0.053582884,0.0799804,-0.01836579,0.06607707,-0.04784661,-0.06354166,-0.011126793,-0.04680365,-0.059904087,0.059288703,0.010660651,0.07055199,0.16193022,0.059947442,0.09627196,-0.16655853,0.12779747,-0.036411304,0.04592037,0.098338164,-0.022178438,0.002726991,-0.14568463,0.0074969735,0.06053216,0.038289465,0.13762869,-0.01798471,0.2424228,-0.046199515,0.071804665,-0.17266008,0.07873008,0.13647078,0.13032039,0.12527147,0.041262213,-0.025699917,0.11132278,-0.046834406,0.11758771,0.014209873,-0.003579236,-0.15087266,-0.081657164,-0.16894013,0.109186344,-0.22294801,0.07156993,0.0701163,0.022389516,0.113603234,0.12397537,-0.03623969,-0.05683966,-0.12235544,-0.026622642,0.032066893,-0.14382382,0.02626086,0.11695496,-0.038635094,-0.10362783,0.008859375"
0,"-0.062384382,-0.041747503,0.091862805,0.16433454,-0.00092642114,0.032362998,0.05025569,0.033436213,0.0028733735,0.10483218,0.16616693,0.1700644,-0.049664613,-0.05188994,0.07077885,0.017951842,-0.044781156,0.075535074,-0.06612671,0.11286673,0.078352645,0.095638335,-0.0039581805,0.14958048,-0.016120983,-0.066485025,0.04931897,0.04924041,0.027412403,-0.11074044,0.003919932,0.07399736,0.053770885,-0.1421216,0.017822985,0.013426617,0.12765777,-0.10867582,0.06300442,0.06150556,-0.033059753,-0.07461803,-0.06717542,0.01032243,-0.007869269,0.024938261,0.1583212,-0.07138338,-0.09943155,0.09989511,-0.10483185,0.037087273,-0.0023493734,-0.046935793,-0.08634123,0.13151623,0.056114614,-0.08129968,-0.013703545,-0.09429981,0.0066237785,0.20116681,-0.12478443,-0.27400237,-0.050753716,0.014140069,-0.08367557,0.17450401,0.019173779,-0.021726646,0.044070393,0.077781074,0.014317214,0.08860086,0.22690104,0.11266155,-0.05647428,0.094430454,0.033567168,0.02377616,0.022383096,0.052163117,0.02604743,0.10542544,-0.004902958,0.07867813,-0.009986359,0.0739049,0.17547624,0.08057204,0.015497331,-0.022272127,0.029403416,0.08054904,0.018283615,-0.14859544,-0.0077292467,0.14012758,0.07621564,0.11180847,-0.0009664439,-0.008530208,0.07639787,-0.16590834,-0.1028963,-0.019237043,-0.08531055,-0.043383077,-0.021252612,-0.11247508,0.14332671,-0.062441535,0.0327599,0.07554227,-0.049754538,0.08712462,0.0018214155,-0.026755007,0.060488433,-0.18767948,0.07753665,-0.14153202,0.066899724,0.078270875,0.057651196,-0.009006784,-0.13001719,-0.05223538"
0,"0.11127991,-0.12336336,0.03899551,0.032129698,-0.023864493,0.07735755,-0.072110005,-0.029891063,-0.044865258,0.0025782653,0.117716886,0.15136218,0.059052456,-0.026309134,-0.064361125,0.012165248,-0.05214055,0.0018186301,-0.054666903,0.025762431,0.07062225,0.043388348,-0.10625472,-0.10273103,-0.0444691,-0.008290312,0.024545308,0.03199045,-0.05114668,-0.035767388,0.015365123,0.12110015,-0.021760775,0.003410794,-0.030314839,0.16055168,-0.021676281,-0.06418553,-0.07280141,0.14294083,0.024705747,-0.011639605,-0.02868152,-0.0653452,0.06156749,0.15070322,-0.022645496,-0.072068565,0.076177515,-0.051302,-0.039483156,-0.0318778,0.08907775,-0.18656334,-0.05522796,0.10523849,0.10575357,-0.007791351,-0.09766959,-0.11767729,-0.018933946,0.050220657,-0.07142946,-0.28991172,0.044053152,0.017431999,-0.07499175,-0.07984827,0.08629215,0.11803294,-0.07130607,0.015236768,-0.093365155,-0.02093727,0.027200934,0.044174414,-0.04363723,0.07557837,0.08816824,-0.09260726,0.059730127,0.11476639,-0.038281363,0.11892966,-0.028186232,-0.092983186,0.057783242,0.0050602835,0.14389248,0.11008326,0.18368348,-0.060703047,0.1254532,-0.09230665,0.024844393,-0.22228155,-0.050442528,0.05573568,0.021475798,0.14683086,-0.04912756,-0.021626145,0.1524354,-0.2586077,-0.03208741,0.0019683766,0.15088703,-0.010655405,-0.038367048,-0.0063301497,0.028596234,-0.102596454,0.15438364,0.008917865,0.065686226,0.0515305,0.09775907,-0.02451735,0.015294776,-0.065187536,0.17265284,0.08012955,-0.16544348,0.0059273303,-0.0106311245,0.06485404,-0.15765212,-0.009220132"
0,"0.06626111,-0.07164636,0.11150712,0.039460838,-0.035241768,0.05712867,0.042741988,-0.034979492,-0.028938616,-0.0032704677,0.09756884,0.15792347,-0.111180805,-0.041890092,-0.004924368,-0.03487393,-0.015222921,0.18463375,-0.008937831,0.09115573,0.07009815,0.07976679,-0.09649495,0.04026848,-0.041751333,-0.07038697,-0.025778156,-0.0026060895,-0.09065191,-0.13806787,-0.035942867,0.014553986,0.1362603,-0.07945148,0.08223769,0.009774485,0.0071214335,0.03989108,0.0830249,0.015097547,-0.035305686,0.009491655,0.057175405,-0.105559416,-0.057274383,0.056449376,0.16459887,-0.116959006,-0.2298627,-0.009128633,-0.1511265,-0.058865577,0.014601254,-0.098658085,0.011143389,0.06495284,0.063036196,-0.0834663,-0.07388774,-0.019086026,0.0041372944,0.046019208,-0.052758757,-0.23102355,0.04248152,0.024595907,0.01607967,0.09389552,-0.029250603,0.03349009,-0.08782269,0.10602288,-0.055274513,-0.039732367,-0.12334994,0.05321774,0.008450441,0.093082495,0.026250273,0.06730034,-0.02819836,-0.008885677,0.07929445,0.16365254,-0.102210864,-0.06593101,0.013022794,-0.027283967,0.082694046,-0.018177949,0.09779229,0.015685426,0.14989525,-0.029276298,0.07879241,-0.23005979,-0.067057855,0.20169896,0.14343514,-0.059129212,-0.1634779,-0.02681772,0.12493852,-0.21313782,0.07589337,-0.041950136,-0.027379973,0.02874752,-0.047871348,-0.039137952,0.11793535,-0.15450363,-0.051232297,0.060021114,0.07658346,0.1256309,-0.016721886,-0.057586066,0.05280139,-0.19257554,0.009128996,0.05622481,-0.06052658,0.1435309,0.06476049,-0.08823654,0.03878017,-0.07890399"
